ID,Station Name,Access,Owner,Last_Used,Open_Date,DC_Fast,Level1_Charging,Level2_Charging,Address,City,State,Zipcode,Latitude,Longitude,Pricing,Connection_Type
105042,New Quarter Park,public,UNIVERSAL,2023-01-10,2023-01-04,,,2.0,1000 Lakeshead Dr,Williamsburg,VA,23185,37.291553,-76.644064,Free,J1772
105076,Arlington Mill Community Center,public,Non-Networked,2023-10-12,2018-09-30,,,3.0,909 S Dinwiddie St,Arlington,VA,22206,38.856754,-77.112304,Free,J1772
105133,AMERICAN UNIV WCL STATION 2,public,ChargePoint Network,2024-10-10,2018-12-07,,,2.0,4300 Nebraska Ave NW,Washington,DC,20016,38.945542,-77.080461,,J1772
105159,UNDER ARMOUR HAUBERT,public,ChargePoint Network,2024-10-10,2018-12-11,,,2.0,1125 Haubert St,Baltimore,MD,21230,39.273895,-76.592525,,J1772
105188,Rotunda Parking Garage,public,Non-Networked,2022-11-10,2018-12-01,,,9.0,711 W 40th St,Baltimore,MD,21211,39.33563,-76.629666,Free,J1772
105190,Owings Mills Center,private,Non-Networked,2023-09-14,2018-12-12,,,2.0,11515 Cronridge Dr,Owings Mills,MD,21117,39.438482,-76.776646,,J1772
105191,Vienna Food Mart,public,Non-Networked,2022-11-10,2018-12-01,2.0,,,307 Old Ocean Gateway,Vienna,MD,21869,38.486172,-75.825191,Free,CHADEMO
105193,Little Italy Garage,public,Non-Networked,2023-10-12,2018-12-01,,,2.0,400 S Central Ave,Baltimore,MD,21202,39.285911,-76.599462,Free,J1772
105194,Dorchester County Public Library - Hurlock Branch,public,Non-Networked,2022-11-10,2018-12-01,,,2.0,222 S Main St,Hurlock,MD,21643,38.631284,-75.862667,Free,J1772
105195,Hurlock Park - Tennis Courts,public,Non-Networked,2022-11-10,2018-12-01,,,2.0,200 Charles St,Hurlock,MD,21643,38.632842,-75.864863,Free,J1772
105197,1850 Towers Crescent,public,Non-Networked,2023-01-10,2016-05-01,,,3.0,1850 Towers Crescent Plaza,Vienna,VA,22182,38.915838,-77.220807,Free; parking fee,J1772
105293,Washington College,private,Non-Networked,2024-09-12,2018-11-01,,,4.0,300 Washington Ave,Chestertown,MD,21620,39.216351,-76.068383,,J1772
105428,ATAPCO PROPERTY ATAPCO GARAGE 1,public,ChargePoint Network,2024-10-10,2018-12-20,,,1.0,601 N Calvert St,Baltimore,MD,21202,39.297438,-76.612611,,J1772
