Fuel Type Code,Station Name,Street Address,City,ZIP,EV Connector Types,EV Pricing,Latitude,Longitude,Access Code,State
ELEC,2000 M St,2000 M Street,Washington,20036,J1772,$1.50/Hr Parking Fee,38.905461,-77.045209,public,DC
ELEC,Washington Office Center,409 3rd Street Southwest,Washington,20024,J1772,$1.00/Hr Parking Fee,38.884762,-77.0155718,public,DC
ELEC,"1015 15th Street, Inc.",1015 15th Street NW,Washington,20005,J1772,FREE,38.9033169,-77.0339576,public,DC
ELEC,1400 K St NW,1400 K Street Northwest,Washington,20005,J1772,$0.00-$10.00/Hr Variable Parking Fee,38.9021614,-77.0322943,public,DC
ELEC,1400 Eye Street,1400 I Street NW,Washington,20005,J1772,$1.50/Hr Parking Fee,38.901006,-77.032358,public,DC
ELEC,Sentinel Square III,45 L Street Northeast,Washington,20002,J1772,FREE,38.9036883,-77.0074877,public,DC
ELEC,531708  Lexington/Market Sq Parking Garage,401 9th St NW & 875 D St NW,Washington,20004,J1772,$1.00-$5.00/Hr Variable Parking Fee,38.895425,-77.023752,public,DC
ELEC,600 Mass Ave,600 Massachusetts Avenue Northwest,Washington,20001,J1772,FREE,38.9012307,-77.0207401,public,DC
ELEC,531711  JBAB / MWR,Chappie James Boulevard,Washington,20032,J1772,$0.00-$1.50/Hr Variable Parking Fee,38.8401346,-77.0171786,public,DC
ELEC,Akridge,"601 Thirteenth Street NW, Suite 300",Washington,20005,J1772,FREE,38.897813,-77.029352,public,DC
ELEC,Rockview Apartments,1400 Rock Creek Ford Road Northwest,Washington,20011,J1772,"$0.00-$4.00/Hr Variable Parking Fee, $0.25/kWh Energy Fee",38.9632417,-77.0334229,public,DC
ELEC,District Wharf Parking Garage,800 Maine Avenue Southwest,Washington,20024,J1772,FREE,38.8781511,-77.0223675,public,DC
ELEC,Target Ivy City,1515 New York Avenue Northeast,Washington,20002,J1772,FREE,38.916308,-76.982415,public,DC
ELEC,1200 K,1200 K St. NW Suite 100,Washington,20005,J1772,FREE,38.9021125,-77.0286047,public,DC
ELEC,AZ/JH REIT (DC) LP c/o Transwestern,"1100 New York Avenue, NW Suite Ground Floor",Washington,20005,J1772,FREE,38.9002423,-77.0274863,public,DC
ELEC,Beckerts Park Apartments,1350 E Street Southeast,Washington,20003,J1772,FREE,38.8831947,-76.9864307,public,DC
ELEC,Hall of the States Office Building,400/444 North Capitol Street NW,Washington,20001,J1772,$1.00/Hr Parking Fee,38.8957704,-77.0094944,public,DC
ELEC,Resources and Conservation Center,1400 16th Street Northwest,Washington,20036,J1772,$1.00/Hr Parking Fee,38.9090483,-77.0371063,public,DC
