Fuel Type Code,Station Name,Street Address,Date Last Confirmed,Groups With Access Code,State,City,Open Date,ZIP,EV Connector Types,EV Pricing,Latitude,Longitude,Access Code,ID
ELEC,Downtown Hopewell Virginia - Tesla Destination,220 Appomattox St,2022-10-06,Public,VA,Hopewell,2017-08-25,23860,J1772 TESLA,Free,37.305911,-77.28646,public,270
ELEC,The Boathouse at City Point - Tesla Destination,701 W Randolph Rd,2022-10-06,Public,VA,Hopewell,2017-07-18,23860,TESLA,Free,37.308732,-77.294043,public,271
ELEC,The Tides Inn - Tesla Destination,480 King Carter Dr,2022-10-06,Public,VA,Irvington,2015-12-18,22480,J1772 TESLA,Free,37.664451,-76.432381,public,272
ELEC,Keswick Hall & Golf Club - Tesla Destination,701 Club Dr,2022-10-06,Public,VA,Keswick,2015-05-12,22947,J1772 TESLA,Free,38.016727,-78.367276,public,273
ELEC,Lansdowne Resort - Tesla Destination,44050 Woodridge Pkwy,2022-10-06,Public,VA,Leesburg,2016-06-15,20176,J1772 TESLA,Free,39.0834,-77.475975,public,274
ELEC,Best Western Leesburg Hotel & Conference Center - Tesla Destination,726 E Market St,2022-10-06,Public,VA,Leesburg,2017-10-19,20176,J1772 TESLA,Free,39.106499,-77.5459562,public,275
ELEC,Best Western Plus Inn at Hunt Ridge - Tesla Destination,25 Willow Springs Rd,2022-10-06,Public,VA,Lexington,2017-12-05,24450,J1772 TESLA,Free,37.804211,-79.415913,public,276
ELEC,Comfort Inn Virginia Horse Center - Tesla Destination,62 Comfort Wy,2022-10-06,Public,VA,Lexington,2017-12-05,24450,J1772 TESLA,Free,37.801513,-79.417941,public,277
ELEC,Brierley Hill Bed and Breakfast - Tesla Destination,985 Borden Rd,2022-10-06,Public,VA,Lexington,2015-04-13,24450,TESLA,Free,37.7947045,-79.4699173,public,278
ELEC,Prospect Hill Plantation Inn - Tesla Destination,2887 Poindexter Rd,2022-10-06,Public,VA,Louisa County,2016-03-30,23093,J1772 TESLA,Free,37.99188,-78.165277,public,279
ELEC,The Mimslyn Inn - Tesla Destination,401 W Main St,2022-10-06,Public,VA,Luray,2015-03-02,22835,J1772 TESLA,Free,38.664182,-78.46637,public,280
ELEC,Shenandoah National Park - Skyland Resort - Tesla Destination,- Skyland Upper Loop Mile 41,2022-10-06,Public,VA,Luray,2017-06-22,22835,J1772 TESLA,Free,38.592057,-78.38108,public,281
ELEC,Craddock Terry Hotel - Tesla Destination,1312 Commerce St,2022-10-06,Public,VA,Lynchburg,2018-07-18,24504,TESLA,Free,37.411599,-79.138201,public,282
ELEC,Courtyard by Marriott Liberty University/Lynchburg - Tesla Destination,4640 Murray Pl,2022-10-06,Public,VA,Lynchburg,2017-07-24,24502,TESLA,Free,37.368797,-79.173357,public,283
ELEC,Kinloch Golf Club - Tesla Destination,100 Kinloch Ln,2022-10-06,Public,VA,Manakin Sabot,2018-03-16,23103,TESLA,Free,37.6359894,-77.6872898,public,284
ELEC,Field & Main Restaurant - Tesla Destination,8369 W Main St,2022-10-06,Public,VA,Marshall,2016-08-25,20115,TESLA,Free,38.864719,-77.857351,public,285
ELEC,"The Ritz-Carlton, Tysons Corner - Tesla Destination",1700 Tysons Blvd,2022-10-06,Public,VA,Mclean,2016-02-19,22012,J1772 TESLA,Free,38.924225,-77.2235,public,286
ELEC,Hilton McLean Tysons Corner - Tesla Destination,7920 Jones Branch Dr,2022-10-06,Public,VA,McLean,2015-08-14,22102,TESLA,Free,38.925974,-77.216181,public,287
ELEC,Primland - Tesla Destination,2000 Busted Rock Rd,2022-10-06,Public,VA,Meadows of Dan,2016-02-03,24120,TESLA,Free,36.661544,-80.43188,public,288
ELEC,50 West Vineyards - Tesla Destination,39060 John Mosby Hwy,2022-10-06,Public,VA,Middleburg,2018-03-13,20117,J1772 TESLA,Free,38.9812175,-77.6582443,public,289
ELEC,Salamander Resort & Spa - Tesla Destination,500 N Pendleton St,2022-10-06,Public,VA,Middleburg,2017-09-29,20137,TESLA,Free,38.974469,-77.7433777,public,290
ELEC,Independence Golf Club - Tesla Destination,600 Founders Bridge Blvd,2022-10-06,Public,VA,Midlothian,2017-06-02,23113,J1772 TESLA,Free,37.543733,-77.684625,public,291
ELEC,James Madison's Montpelier - Tesla Destination,11350 Constitution Hwy,2022-10-06,Public,VA,Montpelier Station,2017-12-19,22957,J1772 TESLA,Free,38.217746,-78.171122,public,292
ELEC,Shenvalee Golf Resort - Tesla Destination,9660 Fairway Dr,2022-10-06,Public,VA,New Market,2017-01-30,22844,J1772 TESLA,Free,38.640043,-78.673807,public,293
ELEC,"Holiday Inn Express & Suites, Newport News - Tesla Destination",943 J Clyde Morris Blvd,2022-10-06,Public,VA,Newport News,2018-05-22,23601,J1772 TESLA,Free,37.0928622,-76.4606547,public,294
ELEC,Press 626 - Tesla Destination,626 W Olney Rd,2022-10-06,Public,VA,Norfolk,2016-03-29,23507,TESLA,Free,36.860532,-76.299693,public,295
ELEC,Thrift Store USA Norfolk - Tesla Destination,875 E Little Creek Rd,2022-10-06,Public,VA,Norfolk,2016-10-27,23518,TESLA,Free,36.914545,-76.247689,public,296
ELEC,"The Inn at Onancock, a Select Registry Property - Tesla Destination",30 North St,2022-10-06,Public,VA,Onancock,2015-05-08,23417,J1772 TESLA,Free,37.7138577,-75.7473399,public,297
ELEC,Shrine Mont - Tesla Destination,217 Shrine Mont Cir,2022-10-06,Public,VA,Orkney Springs,2018-06-21,22845,J1772 TESLA,Free,38.795476,-78.81805,public,298
ELEC,"Inn at Riverbend, a Select Registry Property - Tesla Destination",125 River Ridge Dr,2022-10-06,Public,VA,Pearisburg,2015-06-12,24134,J1772 TESLA,Free,37.319736,-80.686176,public,299
ELEC,The Commodore Theatre - Tesla Destination,421 High St,2022-10-06,Public,VA,Portsmouth,2015-05-26,23704,TESLA,Free,36.834926,-76.302028,public,300
ELEC,The Mermaids' Porch Bed and Breakfast - Tesla Destination,497 North St,2022-10-06,Public,VA,Portsmouth,2017-02-23,23704,TESLA,Free,36.838156,-76.302319,public,301
ELEC,Sunset Hills Vineyard - Tesla Destination,38295 Fremont Overlook Ln,2022-10-06,Public,VA,Purcellville,2018-03-13,20132,J1772 TESLA,Free,39.1795605,-77.6774243,public,302
ELEC,Steeles Tavern Manor and Alpine Hideaway Cabins - Tesla Destination,8400 N Lee Hwy,2022-10-06,Public,VA,Raphine,2015-03-23,24472,J1772 TESLA,Free,37.9237706,-79.2036335,public,303
ELEC,Walden Hall - Tesla Destination,17440 True Blue Ln,2022-10-06,Public,VA,Reva,2017-03-02,22735,J1772 TESLA,Free,38.460384,-78.128655,public,304
ELEC,Pupatella - Tesla Destination,1 N Morris St,2022-10-06,Public,VA,Richmond,2017-10-27,23220,TESLA,Free,37.546347,-77.456361,public,305
ELEC,The Jefferson Hotel - Tesla Destination,101 W Franklin St,2022-10-06,Public,VA,Richmond,2016-01-08,23220,J1772 TESLA,Free,37.543816,-77.444942,public,306
ELEC,Providence Golf Club - Tesla Destination,1160 S Providence Rd,2022-10-06,Public,VA,Richmond,2017-10-25,23236,J1772 TESLA,Free,37.48132,-77.555591,public,307
ELEC,Hilton Richmond Hotel & Spa/Short Pump - Tesla Destination,12042 W Broad St,2022-10-06,Public,VA,Richmond,2017-05-30,23233,TESLA,Free,37.659337,-77.628263,public,308
ELEC,Wingate by Wyndham Richmond Short Pump - Tesla Destination,13991 N Gayton Rd,2022-10-06,Public,VA,Richmond,2017-04-12,23233,J1772 TESLA,Free,37.660164,-77.630903,public,309
ELEC,Richmond Main Street Station - Tesla Destination,1500 E Main St,2022-10-06,Public,VA,Richmond,2015-04-27,23219,TESLA,Free,37.534318,-77.428758,public,310
ELEC,Graduate Richmond - Tesla Destination,301 W Franklin St,2022-10-06,Public,VA,Richmond,2018-01-29,23220,TESLA,Free,37.545362,-77.446647,public,311
ELEC,Hyatt Place Richmond Airport - Tesla Destination,4401 S Laburnum Ave,2022-10-06,Public,VA,Richmond,2017-04-11,23231,J1772 TESLA,Free,37.530918,-77.358861,public,312
ELEC,Hilton Richmond Downtown - Tesla Destination,501 E Broad St,2022-10-06,Public,VA,Richmond,2016-01-13,23219,TESLA,Free,37.542205,-77.437577,public,313
ELEC,Triple Crossing Brewing - Fulton - Tesla Destination,5203 Hatcher St,2022-10-06,Public,VA,Richmond,2018-03-19,23231,TESLA,Free,37.512467,-77.4067411,public,314
ELEC,Crowne Plaza Richmond Downtown - Tesla Destination,555 E Canal St,2022-10-06,Public,VA,Richmond,2017-05-30,23219,J1772 TESLA,Free,37.538185,-77.44109,public,315
ELEC,The Westin Richmond - Tesla Destination,6631 W Broad St,2022-10-06,Public,VA,Richmond,2016-02-13,23230,J1772 TESLA,Free,37.604272,-77.518319,public,316
ELEC,Homewood Suites by Hilton Richmond-Downtown - Tesla Destination,700 E Main St,2022-10-06,Public,VA,Richmond,2017-07-17,23219,TESLA,Free,37.539373,-77.43763,public,317
ELEC,Quality Inn West End - Tesla Destination,8008 W Broad St,2022-10-06,Public,VA,Richmond,2017-07-13,23294,J1772 TESLA,Free,37.626376,-77.528253,public,318
ELEC,"Country Inn & Suites By Carlson, Richmond W I-64 - Tesla Destination",8010 W Broad St,2022-10-06,Public,VA,Richmond,2017-07-14,23294,J1772 TESLA,Free,37.625913,-77.527317,public,319
ELEC,"Country Inn & Suites By Carlson, Roanoke, VA - Tesla Destination",7860 Plantation Rd,2022-10-06,Public,VA,Roanoke,2017-06-21,24019,J1772 TESLA,Free,37.354562,-79.956722,public,320
ELEC,Holiday Inn Express Roanoke - Civic Center - Tesla Destination,815 Gainsboro Rd NW,2022-10-06,Public,VA,Roanoke,2017-07-17,24016,J1772 TESLA,Free,37.281753,-79.940541,public,321
ELEC,Hotel Roanoke and Conference Center - Tesla Destination,110 Shenandoah Ave NW,2022-10-06,Public,VA,Roanoke,2016-06-06,24016,TESLA,Free,37.2746767,-79.9393021,public,322
ELEC,Claiborne House Bed & Breakfast - Tesla Destination,185 Claiborne Ave,2022-10-06,Public,VA,Rocky Mount,2015-07-15,24151,TESLA,Free,36.999977,-79.889484,public,323
ELEC,Hampton Inn Salem East-Electric Road - Tesla Destination,1886 Electric Rd,2022-10-06,Public,VA,Salem,2016-03-25,24153,TESLA,Free,37.265168,-80.03218,public,324
ELEC,Smithfield Station - Tesla Destination,415 S Church St,2022-10-06,Public,VA,Smithfield,2017-11-03,23430,TESLA,Free,36.9824546,-76.6230112,public,325
