ID,Station_Name,Access,Owner,Last_Used,Open_Date,DC_Fast,Level1_Charging,Level2_Charging,Address,City,State,Zipcode,Latitude,Longitude,Pricing,Connection_Type
832,"BoA VA9-532 (Jermantown, VA)",public,Electrify America,2024-10-10,2021-01-22,4,0,0,11190 MAIN ST,Fairfax,VA,22030,38.85651,-77.33128,,CHADEMO
833,"Hagerstown, MD - Venture Dr - Tesla Supercharger",public,Tesla,2024-07-01,2021-01-04,8,0,0,17803 Venture Drive,Hagerstown,MD,21740,39.6088,-77.75032,,TESLA
834,Sheetz - Tesla Supercharger,public,Tesla,2024-07-01,2021-01-11,8,0,0,1804 Tappahannock,Tappahannock,VA,22560,37.903873,-76.865803,,TESLA
835,Monroe Gates Apartments,public,Blink Network,2024-10-10,2020-09-11,0,0,2,200 South Mallory Street,Hampton,VA,23669,37.0177916,-76.3235373,$0.00-$5.00/Hr Variable Parking Fee,J1772
836,Giant Food - H St,public,SHELL_RECHARGE,2024-10-10,2021-01-18,0,0,2,300 H Street NE,Washington,DC,20002,38.900508,-77.001776,,J1772
837,Celebrate Virginia North Shopping Center,public,SHELL_RECHARGE,2024-10-10,2021-01-04,0,0,2,550 Celebrate Virginia Parkway,Fredericksburg,VA,22406,38.359282,-77.521516,,J1772
838,East Park Plaza Shopping Center,public,SHELL_RECHARGE,2024-10-10,2021-01-04,0,0,2,7940 Crain Highway,Glen Burnie,MD,21061,39.133169,-76.638069,,J1772
839,IBEWLOCAL26JATC LANHAM 1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,4371 parliament place,Lanham,MD,20706,38.94944,-76.835477,,J1772
840,MCDOT-PARKING GARAGE 31- 1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,7171 Woodmont Ave,Bethesda,MD,20815,38.980272,-77.095068,,J1772
841,MTA MARC SAVAGE2F,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,10102 Junction Drive,Annapolis Junction,MD,20701,39.1234,-76.795972,,J1772
842,WASH HARBOUR STATION 2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,3000 K St NW,Washington,DC,20007,38.901724,-77.059446,,J1772
843,GEORGE MASON U SHENANDOAH 1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,4400 University Dr,Fairfax,VA,22030,38.829259,-77.304649,,J1772
844,BEULAH II BEULAH NG1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,6412 Beulah St,Alexandria,VA,22310,38.77874,-77.147787,,J1772
845,IBEWLOCAL26JATC MANASSAS 2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,7016 Infantry Ridge Rd,Manassas,VA,20109,38.803773,-77.516418,,J1772
846,THE ASCENT GROUND FLR EAST,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,8421 Broad Street,McLean,VA,22102,38.927504,-77.238164,,J1772
847,THE ASCENT GROUND FLR WEST,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,8421 Broad St,McLean,VA,22102,38.927596,-77.238249,,J1772
848,TONH STATION 3,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,6800 Oxon Hill Rd,Fort Washington,MD,20745,38.794268,-77.002734,,J1772
849,TYSON TOWER TYSONS TOWER 1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,7900 Tysons One Pl,Tysons Corner,VA,22102,38.919557,-77.221169,,J1772
850,TYSON TOWER TYSONS TOWER 3,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,7900 Tysons One Pl,Tysons Corner,VA,22102,38.919557,-77.221094,,J1772
851,TYSON TOWER TYSONS TOWER 2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,7900 Tysons One Pl,Tysons Corner,VA,22102,38.919563,-77.221129,,J1772
852,CENTRAL GARAGE CENTRAL GARAGE2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,7315 Wisconsin Ave Enter by Hilton Garden Inn,Bethesda,MD,20814,38.983237,-77.092149,,J1772
853,TONH STATION 4,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,6800 Oxon Hill Rd,Oxon hill,MD,20745,38.794275,-77.002785,,J1772
854,LIBBIE MILL B1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,4900 Libbie Mill E Blvd.,Richmond,VA,23230,37.591803,-77.494247,,J1772
855,RIVERFRONT DOCK 79 G1 01,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,79 Potomac Ave SE,Washington,DC,20003,38.871181,-77.007125,,J1772
856,RIVERFRONT DOCK 79 G2 02,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,79 Potomac Ave SE,Washington,DC,20003,38.87116,-77.006955,,J1772
857,RIVERFRONT DOCK 79 G1 02,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,79 Potomac Ave SE,Washington,DC,20003,38.871203,-77.007075,,J1772
858,UM PTS PEARL 2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,626-628 W Fayette St,Baltimore,MD,21201,39.290358,-76.624888,,J1772
859,LIBBIE MILL A1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,4901 Libbie Mill E Blvd.,Richmond,VA,23230,37.59006,-77.494079,,J1772
860,MCDOT-PARKING GARAGE 45,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,11304 Amherst Ave,Wheaton-Glenmont,MD,20902,39.040371,-77.048793,,J1772
861,MTA MARC W. BALTO 1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,401 N Smallwood St,Baltimore,MD,21223,39.29293,-76.651458,,J1772
862,TYCON COURTHOUS FAR LEFT,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,2070 Chain Bridge Rd,Vienna,VA,22182,38.917753,-77.237474,,J1772
863,TYCON COURTHOUS FAR RIGHT,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,2070 Chain Bridge Rd,Vienna,VA,22182,38.917718,-77.237432,,J1772
864,PGCMLS LA LIBRARY 2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,507 7th St,Laurel,MD,20707,39.103753,-76.856475,,J1772
865,UM PTS GRAND 1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,5 N Paca St,Baltimore,MD,21201,39.289857,-76.621746,,J1772
866,UM PTS GRAND #3,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,5 North Paca Street,Baltimore,MD,21201,39.289666,-76.622139,,J1772
867,ROYAL FARMS RFS 102 DC #1,public,ChargePoint Network,2024-10-10,2021-01-27,1,0,0,10740 Pulaski Hwy,White Marsh,MD,21162,39.380401,-76.428493,,CHADEMO
868,MC FLEET CNCL_OFFC_BLD#3,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,100 Fleet St,Rockville,MD,20850,39.081586,-77.150027,,J1772
869,UM PTS PRATT #4,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,646 W Pratt St,Baltimore,MD,21201,39.286389,-76.625156,,J1772
870,UM PTS PRATT #3,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,646 W Pratt St,Baltimore,MD,21201,39.286322,-76.625156,,J1772
