Fuel_Station_Id,Connector_Type_Code
753,J1772
754,J1772
755,J1772
756,J1772
757,J1772
758,J1772
759,J1772
760,J1772
761,J1772
762,J1772
763,J1772
764,J1772
765,CHADEMO
765,J1772
765,J1772COMBO
766,CHADEMO
766,J1772
766,J1772COMBO
767,CHADEMO
767,J1772COMBO
768,J1772
769,J1772
770,CHADEMO
770,J1772
770,J1772COMBO
771,J1772
772,J1772
773,J1772
774,CHADEMO
774,J1772COMBO
775,J1772
776,J1772
777,J1772
778,CHADEMO
778,J1772
778,J1772COMBO
779,J1772
780,J1772
781,CHADEMO
781,J1772
781,J1772COMBO
782,TESLA
783,TESLA
784,J1772
785,J1772
786,J1772
787,J1772
788,J1772
789,J1772
790,J1772
791,J1772
792,J1772
793,J1772
794,J1772
795,CHADEMO
795,J1772
795,J1772COMBO
796,J1772
797,J1772
798,J1772
799,J1772
800,CHADEMO
800,J1772COMBO
801,J1772
802,J1772
803,J1772
804,J1772
805,CHADEMO
805,J1772COMBO
806,CHADEMO
806,J1772COMBO
807,J1772COMBO
808,TESLA
809,J1772
810,J1772
811,CHADEMO
811,J1772
811,J1772COMBO
812,J1772
813,J1772
814,J1772
815,CHADEMO
815,J1772COMBO
816,CHADEMO
816,J1772
816,J1772COMBO
817,J1772
818,J1772
819,J1772
820,J1772
821,J1772
822,J1772
823,CHADEMO
823,J1772
823,J1772COMBO
824,J1772
825,J1772
826,J1772
827,CHADEMO
827,J1772COMBO
828,CHADEMO
828,J1772COMBO
829,J1772COMBO
830,J1772COMBO
831,CHADEMO
831,J1772
831,J1772COMBO
832,J1772
833,J1772
834,CHADEMO
835,CHADEMO
836,CHADEMO
837,J1772
838,J1772
839,J1772COMBO
840,J1772
841,J1772
842,J1772
843,J1772
844,J1772
845,J1772
846,J1772
847,J1772
848,J1772
849,J1772
850,J1772
851,J1772
852,J1772
853,J1772
854,J1772
855,J1772
856,J1772
857,J1772
858,J1772
859,TESLA
860,J1772
861,CHADEMO
861,J1772COMBO
862,J1772
863,J1772
864,J1772
865,J1772
866,J1772
867,J1772
868,J1772
869,J1772
870,J1772
871,J1772
872,J1772
873,J1772
874,CHADEMO
